from,to,weigth
it_1910-1920_importazione_politico_prodotto,it_1920-1930_produzione_mondiale_petrolio,1.0435624718666077
it_1910-1920_importazione_politico_prodotto,it_1910-1920_prezzo_scellino_tonnellata,1.0391390919685364
it_1910-1920_importazione_politico_prodotto,it_1910-1920_produzione_consumo_trasporto,0.9830397367477417
it_1910-1920_importazione_politico_prodotto,it_1910-1920_russo_Russia_zona,0.9768567085266113
it_1910-1920_importazione_politico_prodotto,it_1920-1930_guerra_economico_ferro,0.9583840370178223
it_1910-1920_importazione_politico_prodotto,it_1910-1920_minerario_lavoratore_condizione,0.9526933431625366
it_1910-1920_importazione_politico_prodotto,it_1910-1920_inghilterra_Italia_inglese,0.9217770099639893
it_1910-1920_importazione_politico_prodotto,it_1910-1920_Parigi_potere_Francia,0.8860205411911011
it_1910-1920_importazione_politico_prodotto,it_1910-1920_minatore_lavorare_miniera,0.8649125099182129
it_1910-1920_importazione_politico_prodotto,it_1910-1920_vagone_deposito_fuoco,0.7843848466873169
it_1910-1920_importazione_politico_prodotto,it_1920-1930_tonnellata_elettrico_minerale,0.7781797647476196
it_1910-1920_importazione_politico_prodotto,it_1910-1920_questione_dare_altro,0.7689003944396973
it_1910-1920_importazione_politico_prodotto,it_1920-1930_Francia_ruhr_francese,0.7670341730117798
it_1910-1920_importazione_politico_prodotto,it_1920-1930_dovere_inglese_altro,0.7664768695831299
it_1910-1920_importazione_politico_prodotto,it_1910-1920_morale_macchina_uomo,0.755555272102356
it_1910-1920_importazione_politico_prodotto,it_1910-1920_società_mancare_lira,0.731629490852356
it_1910-1920_importazione_politico_prodotto,it_1910-1920_isola_macchina_prendere,0.7311785221099854
it_1910-1920_importazione_politico_prodotto,it_1910-1920_superare_spesa_maggiore,0.7094202041625977
it_1910-1920_importazione_politico_prodotto,it_1910-1920_Germania_problema_dieci,0.6906529664993286
it_1910-1920_importazione_politico_prodotto,it_1920-1930_esportazione_prezzo_lira,0.6859959363937378
it_1910-1920_importazione_politico_prodotto,it_1920-1930_americano_minatore_miniera,0.6427747011184692
it_1910-1920_importazione_politico_prodotto,it_1910-1920_guerra_industria_industriale,0.6388195753097534
it_1910-1920_importazione_politico_prodotto,it_1910-1920_sciopero_ordine_stampa,0.6291111707687378
it_1910-1920_importazione_politico_prodotto,it_1920-1930_società_sindacato_commissione,0.6026068925857544
it_1910-1920_importazione_politico_prodotto,it_1920-1930_metallurgico_forno_arco,0.5714316368103027
it_1910-1920_importazione_politico_prodotto,it_1920-1930_stinnes_tedesco_ferro,0.502332329750061
it_1910-1920_importazione_politico_prodotto,it_1910-1920_nave_flotta_acqua,0.4176654815673828
it_1910-1920_importazione_politico_prodotto,es_1910-1920_político_gobierno_país,0.3272249698638916
it_1910-1920_importazione_politico_prodotto,fr_1910-1920_pouvoir_guerre_falloir,0.31444787979125977
it_1910-1920_importazione_politico_prodotto,fr_1910-1920_bien_homme_trop,0.3132880926132202
it_1910-1920_importazione_politico_prodotto,fr_1910-1920_agir_monde_bon,0.26785147190093994
it_1910-1920_importazione_politico_prodotto,fr_1880-1890_pari_trop_poindre,0.25503838062286377
it_1910-1920_importazione_politico_prodotto,fr_1890-1900_droit_créer_pourtant,0.25439655780792236
it_1910-1920_importazione_politico_prodotto,fr_1870-1880_faire_bien_jour,0.2539435625076294
it_1910-1920_importazione_politico_prodotto,es_1900-1910_españa_país_millón,0.2517104148864746
it_1910-1920_importazione_politico_prodotto,fr_1900-1910_homme_politique_mentir,0.25155580043792725
it_1910-1920_importazione_politico_prodotto,es_1860-1870_comercio_artículo_industria,0.21813321113586426
it_1910-1920_importazione_politico_prodotto,fr_1910-1920_français_agir_france,0.21459972858428955
it_1910-1920_importazione_politico_prodotto,es_1890-1900_ver_cosa_querer,0.19844675064086914
it_1910-1920_importazione_politico_prodotto,es_1880-1890_gobierno_interés_tratado,0.1792813539505005
it_1910-1920_importazione_politico_prodotto,fr_1870-1880_situation_pouvoir_frère,0.17034757137298584
it_1910-1920_importazione_politico_prodotto,fr_1860-1869_journal_beaucoup_livre,0.1655210256576538
it_1910-1920_importazione_politico_prodotto,es_1890-1900_caso_pueblo_poder,0.16519510746002197
it_1910-1920_importazione_politico_prodotto,es_1920-1930_gobierno_país_millón,0.16142868995666504
it_1910-1920_importazione_politico_prodotto,es_1870-1880_francia_obrero_producir,0.1599130630493164
it_1910-1920_importazione_politico_prodotto,fr_1890-1900_question_général_point,0.1507861614227295
it_1910-1920_importazione_politico_prodotto,fr_1890-1900_pauvre_trop_vivre,0.14882946014404297
it_1910-1920_importazione_politico_prodotto,es_1920-1930_vida_hombre_mundo,0.14569640159606934
it_1910-1920_importazione_politico_prodotto,es_1900-1910_cosa_idea_tiempo,0.10093533992767334
it_1910-1920_importazione_politico_prodotto,es_1920-1930_español_labor_elemento,0.0738142728805542
it_1910-1920_importazione_politico_prodotto,es_1920-1930_comisión_presidente_sesión,0.07255339622497559
it_1910-1920_importazione_politico_prodotto,es_1880-1890_noche_salir_mañana,0.07215213775634766
it_1910-1920_importazione_politico_prodotto,es_1890-1900_ministro_señor_gobierno,0.06309080123901367
it_1910-1920_importazione_politico_prodotto,es_1880-1890_país_derecho_vino,0.05034947395324707
it_1910-1920_importazione_politico_prodotto,fr_1900-1910_femme_jeune_cœur,0.048697471618652344
it_1910-1920_importazione_politico_prodotto,fr_1860-1869_propos_souverain_article,0.038841962814331055
it_1910-1920_importazione_politico_prodotto,fr_1860-1869_main_ardent_chambre,0.024167180061340332
it_1910-1920_importazione_politico_prodotto,es_1880-1890_hombre_tiempo_cuerpo,0.017838478088378906
it_1910-1920_importazione_politico_prodotto,es_1900-1910_ministro_proyecto_gobierno,0.013478755950927734
it_1910-1920_importazione_politico_prodotto,fr_1860-1869_poindre_dieu_beau,0.011531233787536621
it_1910-1920_importazione_politico_prodotto,fr_1910-1920_guerre_politique_mesure,0.005659937858581543
it_1910-1920_importazione_politico_prodotto,es_1910-1920_ministro_proyecto_señor,0.005060672760009766
it_1910-1920_importazione_politico_prodotto,fr_1880-1890_ville_corps_devenir,0.0003070831298828125
it_1910-1920_inghilterra_Italia_inglese,it_1910-1920_Parigi_potere_Francia,1.2455294728279114
it_1910-1920_inghilterra_Italia_inglese,it_1920-1930_produzione_mondiale_petrolio,1.150900423526764
it_1910-1920_inghilterra_Italia_inglese,it_1910-1920_russo_Russia_zona,1.1275048851966858
it_1910-1920_inghilterra_Italia_inglese,it_1920-1930_Francia_ruhr_francese,0.9998786449432373
it_1910-1920_inghilterra_Italia_inglese,it_1910-1920_minatore_lavorare_miniera,0.9940721988677979
it_1910-1920_inghilterra_Italia_inglese,it_1910-1920_importazione_politico_prodotto,0.9217770099639893
it_1910-1920_inghilterra_Italia_inglese,it_1920-1930_dovere_inglese_altro,0.905958890914917
it_1910-1920_inghilterra_Italia_inglese,it_1920-1930_guerra_economico_ferro,0.8971678018569946
